議題,關鍵字,關聯詞彙,關聯程度
糧食安全,糧食,兩德,0.9276
糧食安全,糧食,中韓,0.9274
糧食安全,糧食,爭端,0.9269
糧食安全,糧食,蕭萬長,0.9251
糧食安全,糧食,文明,0.9246
糧食安全,糧食,進步,0.9234
糧食安全,糧食,WTO,0.9220
糧食安全,糧食,經濟學,0.9205
糧食安全,糧食,南海,0.9195
糧食安全,糧食,淮南,0.9176
糧食安全,糧食,江丙坤,0.9176
糧食安全,糧食,黨綱,0.9173
糧食安全,糧食,影響力,0.9158
糧食安全,糧食,基石,0.9152
糧食安全,糧食,承擔,0.9134
糧食安全,糧食,清算,0.9128
糧食安全,糧食,治理,0.9124
糧食安全,糧食,蔣經國,0.9116
糧食安全,糧食,稅改,0.9101
糧食安全,糧食,命運,0.9097
糧食安全,糧食,不統,0.9094
糧食安全,糧食,破壞,0.9093
糧食安全,安全,流程,0.8177
糧食安全,安全,解決方案,0.8119
糧食安全,安全,效率,0.8110
糧食安全,安全,行政,0.8096
糧食安全,安全,環保署,0.8026
糧食安全,安全,品質,0.8016
糧食安全,安全,標章,0.8013
糧食安全,安全,人員,0.7998
糧食安全,安全,個資,0.7970
糧食安全,安全,驗證,0.7949
糧食安全,安全,運用,0.7945
糧食安全,安全,工作,0.7938
糧食安全,安全,資安,0.7896
糧食安全,安全,檢測,0.7892
糧食安全,安全,消保官,0.7890
糧食安全,安全,IT,0.7887
糧食安全,安全,高效,0.7870
糧食安全,安全,使用者,0.7857
糧食安全,安全,維護,0.7828
中國大陸與國安統一議題,兩岸,協議,0.6761
中國大陸與國安統一議題,兩岸,對台,0.6162
中國大陸與國安統一議題,兩岸,和平,0.6005
兩中國大陸與國安統一議題,兩岸,岸關係,0.5877
中國大陸與國安統一議題,兩岸,ECFA,0.5367
中國大陸與國安統一議題,兩岸,九二,0.5225
中國大陸與國安統一議題,兩岸,國共,0.5132
中國大陸與國安統一議題,兩岸,北京,0.5100
中國大陸與國安統一議題,兩岸,國台,0.5058
中國大陸與國安統一議題,兩岸,台海,0.5029
中國大陸與國安統一議題,兩岸,交流,0.4990
中國大陸與國安統一議題,兩岸,簽署,0.4961
中國大陸與國安統一議題,兩岸,對話,0.4952
中國大陸與國安統一議題,兩岸,胡錦濤,0.4945
中國大陸與國安統一議題,兩岸,基礎,0.4939
中國大陸與國安統一議題,兩岸,共識,0.4926
中國大陸與國安統一議題,兩岸,中共,0.4922
中國大陸與國安統一議題,兩岸,陸媒,0.4808
中國大陸與國安統一議題,兩岸,十八,0.4778
中國大陸與國安統一議題,兩岸,習近平,0.4741
中國大陸與國安統一議題,兩岸,一中,0.4698
中國大陸與國安統一議題,兩岸,孫亞夫,0.4689
中國大陸與國安統一議題,兩岸,上海,0.4686
中國大陸與國安統一議題,兩岸,雙英,0.4648
中國大陸與國安統一議題,兩岸,商談,0.4635
