議題,關鍵字,關聯詞彙,關聯程度
氣候變遷與自然災害,跨國,材料,0.9793
氣候變遷與自然災害,跨國,電路板,0.9785
氣候變遷與自然災害,跨國,智能,0.9764
氣候變遷與自然災害,跨國,產業化,0.9753
氣候變遷與自然災害,跨國,領先,0.9731
氣候變遷與自然災害,跨國,巨量,0.9729
氣候變遷與自然災害,跨國,座談會,0.9724
氣候變遷與自然災害,跨國,小農,0.9724
氣候變遷與自然災害,跨國,NGO,0.9722
氣候變遷與自然災害,跨國,開課,0.9713
氣候變遷與自然災害,跨國,新思維,0.9695
氣候變遷與自然災害,跨國,診斷,0.9692
氣候變遷與自然災害,跨國,貢獻獎,0.9684
氣候變遷與自然災害,跨國,產官學,0.9682
氣候變遷與自然災害,跨國,揭露,0.9677
氣候變遷與自然災害,跨國,磋商,0.9675
氣候變遷與自然災害,跨國,鑑識,0.9672
氣候變遷與自然災害,影響,黃曆,0.9291
氣候變遷與自然災害,影響,預估,0.9272
氣候變遷與自然災害,影響,年來,0.9231
氣候變遷與自然災害,影響,成長率,0.9212
氣候變遷與自然災害,影響,當地,0.919
氣候變遷與自然災害,影響,前景,0.9183
氣候變遷與自然災害,影響,房價,0.9181
氣候變遷與自然災害,影響,破產,0.9147
氣候變遷與自然災害,影響,GDP,0.9137
氣候變遷與自然災害,影響,價格,0.9122
氣候變遷與自然災害,影響,不振,0.912
氣候變遷與自然災害,影響,退場,0.9107
氣候變遷與自然災害,影響,人民幣,0.9102
氣候變遷與自然災害,影響,東協,0.9091
氣候變遷與自然災害,影響,IMF,0.9084
氣候變遷與自然災害,影響,寬鬆,0.9084
氣候變遷與自然災害,影響,指出,0.9071
氣候變遷與自然災害,影響,降息,0.9063
氣候變遷與自然災害,影響,升值,0.9058
氣候變遷與自然災害,影響,近年,0.9047
氣候變遷與自然災害,影響,貶值,0.9042
氣候變遷與自然災害,影響,短期,0.904
災難危險,災難,媒體,0.8189
災難危險,災難,評論,0.7863
災難危險,災難,政治,0.7826
災難危險,災難,浩劫,0.778
災難危險,災難,地震,0.7633
災難危險,災難,民主,0.7515
災難危險,災難,歷史,0.7465
災難危險,災難,人類,0.7417
災難危險,災難,大災難,0.739
災難危險,災難,極端,0.7379
災難危險,災難,短評,0.7276
災難危險,災難,書評,0.7267
災難危險,災難,天災,0.7173
災難危險,災難,海嘯,0.7171
災難危險,災難,強震,0.7167
災難危險,災難,末日,0.7161
災難危險,災難,結束,0.7129
災難危險,災難,搶救,0.7068
災難危險,災難,教訓,0.7003
災難危險,傳染病,病例,0.9647
災難危險,傳染病,疫情,0.9639
災難危險,傳染病,HN,0.963
災難危險,傳染病,病毒,0.9569
災難危險,傳染病,首例,0.951
災難危險,傳染病,登革熱,0.9487
災難危險,傳染病,感染,0.9474
災難危險,傳染病,波拉,0.9422
災難危險,傳染病,SARS,0.9381
災難危險,傳染病,MERS,0.9374
災難危險,傳染病,消毒,0.9239
災難危險,傳染病,禽流感,0.9238
災難危險,傳染病,法定,0.916
災難危險,傳染病,停課,0.9153
災難危險,傳染病,傳染,0.909
災難危險,傳染病,腸病毒,0.9059
災難危險,傳染病,隔離,0.9025
災難危險,傳染病,疾管局,0.8997
災難危險,傳染病,確診,0.8926
災難危險,傳染病,撲殺,0.891
災難危險,傳染病,防疫,0.8892
災難危險,傳染病,肆虐,0.8881
災難危險,傳染病,防治,0.8878
災難危險,傳染病,流感,0.8825
災難危險,傳染病,通報,0.8822
災難危險,傳染病,理賠,0.8816
生物多樣性的危機,氣候,巴黎,0.9167
生物多樣性的危機,氣候,峰會,0.8909
生物多樣性的危機,氣候,哥本哈根,0.8763
生物多樣性的危機,氣候,氣候變遷,0.8453
生物多樣性的危機,氣候,議題,0.8264
生物多樣性的危機,氣候,極端,0.8254
生物多樣性的危機,氣候,會議,0.8228
生物多樣性的危機,氣候,對策,0.8155
生物多樣性的危機,氣候,財經,0.798
生物多樣性的危機,氣候,希臘,0.7952
生物多樣性的危機,氣候,暖化,0.7945
生物多樣性的危機,氣候,漫遊,0.7779
生物多樣性的危機,氣候,缺水,0.7573
生物多樣性的危機,氣候,威脅,0.7402
生物多樣性的危機,氣候,聯合國,0.737
生物多樣性的危機,氣候,領袖,0.7349
生物多樣性的危機,氣候,財政,0.7332
生物多樣性的危機,氣候,財長,0.7317
生物多樣性的危機,氣候,糧食,0.7248
生物多樣性的危機,氣候,時代,0.7219
生物多樣性的危機,氣候,高峰,0.7207
生物多樣性的危機,氣候,歐債,0.7206
生物多樣性的危機,氣候,因應,0.7194
生物多樣性的危機,氣候,金融,0.7181
生物多樣性的危機,氣候,來臨,0.7153
生物多樣性的危機,氣候,政治,0.7138
生物多樣性的危機,氣候,金融危機,0.7135
生物多樣性的危機,變遷,政治經濟,0.9912
生物多樣性的危機,變遷,漿紙,0.9912
生物多樣性的危機,變遷,遠見,0.991
生物多樣性的危機,變遷,論析,0.9907
生物多樣性的危機,變遷,國發,0.9905
生物多樣性的危機,變遷,干預,0.989
生物多樣性的危機,變遷,新訊,0.9877
生物多樣性的危機,變遷,新思維,0.9873
生物多樣性的危機,變遷,三贏,0.9872
生物多樣性的危機,變遷,贏家,0.9869
生物多樣性的危機,變遷,豬糞,0.9866
生物多樣性的危機,變遷,成衣,0.9863
生物多樣性的危機,變遷,航空業,0.9861
生物多樣性的危機,變遷,顧客,0.9861
生物多樣性的危機,變遷,先進,0.9861
生物多樣性的危機,變遷,缺口,0.986
生物多樣性的危機,變遷,外商,0.986
生物多樣性的危機,變遷,媒合,0.9859
生物多樣性的危機,變遷,小國,0.9859
生物多樣性的危機,變遷,淡水河,0.9855
生物多樣性的危機,變遷,北極,0.9854
生物多樣性的危機,變遷,基建,0.9853
生物多樣性的危機,自然,科學,0.9527
生物多樣性的危機,自然,指標,0.9459
生物多樣性的危機,自然,模式,0.9453
生物多樣性的危機,自然,攜手,0.9398
生物多樣性的危機,自然,角色,0.9363
生物多樣性的危機,自然,強化,0.936
生物多樣性的危機,自然,工作,0.9344
生物多樣性的危機,自然,CSR,0.9332
生物多樣性的危機,自然,數位,0.9331
生物多樣性的危機,自然,理念,0.9315
生物多樣性的危機,自然,東瀛,0.9299
生物多樣性的危機,自然,思維,0.9285
生物多樣性的危機,自然,自然科,0.928
生物多樣性的危機,自然,走入,0.9262
生物多樣性的危機,自然,生存,0.9259
生物多樣性的危機,自然,省思,0.9232
生物多樣性的危機,自然,革命,0.9229
生物多樣性的危機,自然,抬頭,0.9224
生物多樣性的危機,自然,順光,0.9223
生物多樣性的危機,自然,翻轉,0.9213
生物多樣性的危機,自然,IT,0.921
生物多樣性的危機,自然,原住民,0.9209
生物多樣性的危機,自然,三贏,0.9208
生物多樣性的危機,自然,都市,0.9204
生物多樣性的危機,自然,善用,0.9204
生物多樣性的危機,自然,需要,0.9201
生物多樣性的危機,自然,環境保護,0.9192
生物多樣性的危機,自然,再造,0.9182
生物多樣性的危機,災害,預警,0.9524
生物多樣性的危機,災害,核四,0.9476
生物多樣性的危機,災害,存廢,0.9417
生物多樣性的危機,災害,防阻,0.9368
生物多樣性的危機,災害,李遠哲,0.9366
生物多樣性的危機,災害,核電,0.9347
生物多樣性的危機,災害,鴻源,0.9322
生物多樣性的危機,災害,水患,0.9298
生物多樣性的危機,災害,治水,0.9273
生物多樣性的危機,災害,學界,0.9245
生物多樣性的危機,災害,損害,0.9245
生物多樣性的危機,災害,潛藏,0.924
生物多樣性的危機,災害,共存,0.9237
生物多樣性的危機,災害,出線,0.9209
生物多樣性的危機,災害,素養,0.92
生物多樣性的危機,災害,真正,0.9193
生物多樣性的危機,災害,兩極,0.9193
生物多樣性的危機,災害,回響,0.9192
生物多樣性的危機,災害,防救,0.9192
生物多樣性的危機,災害,排碳,0.9184
生物多樣性的危機,災害,勞保,0.9177
生物多樣性的危機,災害,謹慎,0.9175
生物多樣性的危機,災害,三讀,0.9168
生物多樣性的危機,災害,防止,0.9167
能源與資源枯竭,能源,替代,0.8302
能源與資源枯竭,能源,潔淨,0.7938
能源與資源枯竭,能源,政策,0.7916
能源與資源枯竭,能源,生質,0.7897
能源與資源枯竭,能源,綠能,0.7863
能源與資源枯竭,能源,油價,0.7608
能源與資源枯竭,能源,效率,0.7571
