議題,關鍵字,關聯詞彙,關聯程度
少子化與超高齡社會,少子,衝擊,0.6911
少子化與超高齡社會,少子,人口老化,0.6794
少子化與超高齡社會,少子,公立,0.6735
少子化與超高齡社會,少子,招生,0.6699
少子化與超高齡社會,少子,勞動力,0.66
少子化與超高齡社會,少子,工作,0.6488
少子化與超高齡社會,少子,減招,0.648
少子化與超高齡社會,少子,銳減,0.6469
少子化與超高齡社會,少子,學生,0.6444
少子化與超高齡社會,少子,指考,0.6416
少子化與超高齡社會,少子,建中,0.6414
少子化與超高齡社會,少子,外勞,0.637
少子化與超高齡社會,少子,教育部,0.6364
少子化與超高齡社會,少子,師資,0.6355
少子化與超高齡社會,高齡,需求,0.743
少子化與超高齡社會,高齡,責任,0.7335
少子化與超高齡社會,高齡,時代,0.719
少子化與超高齡社會,高齡,老化,0.6827
少子化與超高齡社會,高齡,議題,0.6678
少子化與超高齡社會,高齡,現象,0.6548
少子化與超高齡社會,高齡,看護,0.6524
少子化與超高齡社會,高齡,勞動力,0.6426
少子化與超高齡社會,高齡,人口老化,0.6425
少子化與超高齡社會,高齡,重要,0.6372
少子化與超高齡社會,高齡,重視,0.6311
少子化與超高齡社會,高齡,人力,0.6242
少子化與超高齡社會,高齡,企業主,0.6213
少子化與超高齡社會,高齡,企業,0.6178
少子化與超高齡社會,高齡,關注,0.6134
少子化與超高齡社會,高齡,機構,0.604
少子化與超高齡社會,高齡,生育率,0.603
少子化與超高齡社會,高齡,職業,0.5974
重視生活品質的生活型態,生活,樂活,0.6794
重視生活品質的生活型態,生活,便利,0.6677
重視生活品質的生活型態,生活,人瑞,0.6592
重視生活品質的生活型態,生活,運動,0.6376
重視生活品質的生活型態,生活,交通,0.6343
重視生活品質的生活型態,生活,民眾,0.6311
重視生活品質的生活型態,生活,敬老,0.6279
重視生活品質的生活型態,生活,享受,0.6274
重視生活品質的生活型態,生活,環遊世界,0.6236
重視生活品質的生活型態,生活,品味,0.6195
重視生活品質的生活型態,生活,守護,0.6169
重視生活品質的生活型態,生活,熟齡,0.6135
重視生活品質的生活型態,生活,舒適,0.609
重視生活品質的生活型態,生活,建案,0.6074
重視生活品質的生活型態,生活,風格,0.6072
重視生活品質的生活型態,生活,飲食,0.6066
重視生活品質的生活型態,生活,建築,0.6062
重視生活品質的生活型態,生活,講座,0.6052
重視生活品質的生活型態,生活,實驗室,0.6049
重視生活品質的生活型態,生活,寶格麗,0.6009
重視生活品質的生活型態,生活,樂齡,0.5992
重視生活品質的生活型態,品質,雷射,0.8726
重視生活品質的生活型態,品質,睡眠,0.8705
重視生活品質的生活型態,品質,病友,0.8572
重視生活品質的生活型態,品質,復健,0.8543
重視生活品質的生活型態,品質,試驗,0.8518
重視生活品質的生活型態,品質,臨床,0.8502
重視生活品質的生活型態,品質,血友病,0.848
重視生活品質的生活型態,品質,美宅,0.8404
重視生活品質的生活型態,品質,醫界,0.8376
重視生活品質的生活型態,品質,癌患,0.8296
重視生活品質的生活型態,品質,抗癌,0.8229
重視生活品質的生活型態,品質,病人,0.8221
重視生活品質的生活型態,品質,生活品質,0.8217
重視生活品質的生活型態,品質,磁磚,0.8207
重視生活品質的生活型態,品質,超音波,0.8194
重視生活品質的生活型態,品質,抗體,0.818
重視生活品質的生活型態,品質,呼吸,0.8173
重視生活品質的生活型態,品質,個人化,0.8172
重視生活品質的生活型態,品質,困擾,0.8171
多元文化擴散,多元,出版業,0.9461
多元文化擴散,多元,寢具,0.9434
多元文化擴散,多元,理念,0.9424
多元文化擴散,多元,日商,0.9414
多元文化擴散,多元,跨海,0.9407
多元文化擴散,多元,自主,0.9406
多元文化擴散,多元,信賴,0.9405
多元文化擴散,多元,高階,0.9401
多元文化擴散,多元,百大,0.9388
多元文化擴散,多元,三星,0.9388
多元文化擴散,多元,跨業,0.9382
多元文化擴散,多元,經濟部,0.9379
多元文化擴散,多元,版圖,0.9367
多元文化擴散,多元,營養,0.9367
多元文化擴散,多元,藝術家,0.9354
多元文化擴散,文化,文創,0.9751
多元文化擴散,文化,中華,0.94
多元文化擴散,文化,軟體,0.9389
多元文化擴散,文化,數位,0.9251
多元文化擴散,文化,紡織,0.9219
多元文化擴散,文化,時尚,0.9147
多元文化擴散,文化,菁英,0.9128
多元文化擴散,文化,綠能,0.9097
多元文化擴散,文化,LED,0.9077
多元文化擴散,文化,專利,0.9071
多元文化擴散,文化,鋼構,0.9056
多元文化擴散,文化,產學,0.9047
多元文化擴散,文化,觀光,0.9044
多元文化擴散,文化,園區,0.9035
多元文化擴散,文化,創意,0.903
多元文化擴散,文化,發明,0.9009
多元文化擴散,文化,學院,0.8986
多元文化擴散,文化,上海,0.8974
多元文化擴散,文化,省電,0.8936
多元文化擴散,文化,工藝,0.8928
多元文化擴散,文化,營運,0.8919
多元文化擴散,文化,軟硬,0.8908
多元文化擴散,文化,美食,0.8896
