議題,關鍵字,關聯詞彙,關聯程度
失業或就業不穩定,失業,失業,100
失業或就業不穩定,失業,自殺,0.6088
失業或就業不穩定,失業,燒炭,0.6076
失業或就業不穩定,失業,求救,0.6051
失業或就業不穩定,失業,家計,0.5923
失業或就業不穩定,失業,性侵,0.5918
失業或就業不穩定,失業,通緝,0.5896
失業或就業不穩定,失業,情人,0.5813
失業或就業不穩定,失業,輕生,0.5778
失業或就業不穩定,失業,要錢,0.5777
失業或就業不穩定,失業,驚魂,0.575
失業或就業不穩定,失業,強盜,0.5745
失業或就業不穩定,失業,失風,0.5744
失業或就業不穩定,失業,阿嬤,0.5734
失業或就業不穩定,失業,久病,0.5732
失業或就業不穩定,失業,老母,0.5726
失業或就業不穩定,失業,義工,0.5725
失業或就業不穩定,失業,無業,0.5708
失業或就業不穩定,失業,弟弟,0.5691
失業或就業不穩定,失業,尋短,0.5683
失業或就業不穩定,失業,救助,0.5659
失業或就業不穩定,失業,攜子,0.5656
失業或就業不穩定,失業,幼子,0.5652
數位經濟,數位,數位,100
數位經濟,數位,輔助,0.736
數位經濟,數位,電商,0.726
數位經濟,數位,資策,0.7133
數位經濟,數位,應用,0.7129
數位經濟,數位,模具,0.71
數位經濟,數位,陶藝,0.7093
數位經濟,數位,雙年展,0.7055
數位經濟,數位,創投,0.7023
數位經濟,數位,飾品,0.6957
數位經濟,數位,精品,0.6935
數位經濟,數位,CE,0.6931
數位經濟,數位,林之晨,0.6926
數位經濟,數位,聯網,0.6885
數位經濟,數位,生態,0.6874
數位經濟,數位,德芮達,0.6828
數位經濟,數位,台美,0.6782
數位經濟,數位,照護,0.6774
數位經濟,經濟,兩岸關係,0.55
數位經濟,經濟,經濟危機,0.5175
數位經濟,經濟,總體經濟,0.5133
數位經濟,經濟,不均,0.5049
數位經濟,經濟,充分就業,0.5013
數位經濟,經濟,無感,0.4989
數位經濟,經濟,震災,0.497
數位經濟,經濟,蒙塵,0.4944
數位經濟,經濟,保護主義,0.4906
失業或就業不穩定,就業,職涯服務站,0.5827
失業或就業不穩定,就業,謀職,0.5137
失業或就業不穩定,就業,媒合,0.5006
失業或就業不穩定,就業,青輔會,0.4896
失業或就業不穩定,就業,鐵飯碗,0.4858
失業或就業不穩定,就業,職訓局,0.4841
失業或就業不穩定,就業,就業人口,0.4828
失業或就業不穩定,就業,作業員,0.4825
失業或就業不穩定,就業,客運,0.4818
失業或就業不穩定,就業,OL,0.4766
製造業革命,製造業,PMI,0.6721
製造業革命,製造業,ISM,0.6567
製造業革命,製造業,服務業,0.6478
製造業革命,製造業,經濟指標,0.6266
製造業革命,製造業,費城,0.611
製造業革命,製造業,陰霾,0.5844
製造業革命,製造業,萎縮,0.5775
製造業革命,製造業,工業生產,0.5662
製造業革命,製造業,春燕,0.5532
製造業革命,製造業,趨緩,0.5513
製造業革命,製造業,連藍,0.5469
製造業革命,製造業,革命,100
製造業革命,製造業,工業革命,0.7968
製造業革命,製造業,茉莉花,0.7939
製造業革命,製造業,互聯網,0.767
製造業革命,製造業,獨裁政權,0.7488
製造業革命,製造業,林建甫,0.7463
製造業革命,製造業,飾品,0.7455
製造業革命,製造業,設計師,0.7336
製造業革命,製造業,矛盾,0.729
製造業革命,製造業,定位,0.7217
製造業革命,製造業,興起,0.7101
製造業革命,製造業,挺進,0.7066
製造業革命,製造業,人工,0.7023
製造業革命,製造業,明基,0.6945
製造業革命,製造業,菲爾,0.6939
製造業革命,列印,列印,100
製造業革命,列印,雷射,0.7412
製造業革命,列印,工研院,0.739
製造業革命,列印,細緻,0.708
製造業革命,列印,震旦,0.6875
製造業革命,列印,聯網,0.6846
製造業革命,列印,醫材,0.6765
製造業革命,列印,通業,0.6719
製造業革命,列印,拋光,0.657
製造業革命,列印,應用,0.6548
製造業革命,列印,網購,0.6543
製造業革命,列印,實威,0.6531
製造業革命,列印,穿戴,0.6507
製造業革命,列印,金寶,0.6461
製造業革命,列印,金屬,0.6431
製造業革命,列印,研發,0.6417
製造業革命,列印,熱門股,0.6397
製造業革命,列印,時尚,0.6374
